industry,stock_code,stock_name
650201,002625,光启技术
270202,300476,胜宏科技
720601,300251,光线传媒
270202,002384,东山精密
270104,603893,瑞芯微
710401,300803,指南针
490101,601456,国联民生
730205,600522,中天科技
421102,601018,宁波港
270503,300866,安克创新
410107,600930,华电新能
421102,601298,青岛港
270504,002600,领益智造
480501,601077,渝农商行
480501,601825,沪农商行
420805,001391,国货航
650501,302132,中航成飞
710301,301236,软通动力
270104,688047,龙芯中科
280204,601058,赛轮轮胎
370102,688506,百利天恒
490101,601136,首创证券
280602,600066,宇通客车
630502,688472,阿特斯
730204,300394,天孚通信
730204,300502,新易盛
420901,600377,宁沪高速
240302,000630,铜陵有色
280501,601127,赛力斯
630801,002028,思源电气
270202,002463,沪电股份
630306,600482,中国动力
330302,688169,石头科技
240401,000975,山金国际
370102,002422,科伦药业
220311,600160,巨化股份
410101,600027,华电国际
640501,688009,中国通号
270108,688082,盛美上海
270504,603296,华勤技术
410101,600027,华电国际
240301,000807,云铝股份
370302,600161,天坛生物
450304,600415,小商品城
730104,300442,润泽科技
421101,600026,中远海能
370504,300832,新产业
720401,300418,昆仑万维
240401,600489,中金黄金
370201,000999,华润三九
730204,300308,中际旭创
650201,600372,中航机载
750101,600938,中国海油
270104,688256,寒武纪
710401,301269,华大九天
430101,600515,海南机场
370502,688271,联影医疗
410101,600023,浙能电力
490101,601059,信达证券
270104,688041,海光信息
480301,601916,浙商银行
421101,601872,招商轮船
490302,000617,中油资本
630502,688223,晶科能源
630301,600875,东方电气
370402,601607,上海医药
740102,000983,山西焦煤
410301,600803,新奥股份
620306,600039,四川路桥
640501,688187,时代电气
410102,600674,川投能源
280203,601689,拓普集团
630501,688303,大全能源
630503,605117,德业股份
420804,600233,圆通速递
220804,000792,盐湖股份
240301,600219,南山铝业
740101,600188,兖矿能源
710401,002920,德赛西威
220204,002648,卫星化学
270105,300661,圣邦股份
350107,300979,华利集团
710401,002920,德赛西威
220804,000792,盐湖股份
240301,600219,南山铝业
740101,600188,兖矿能源
240603,000408,藏格矿业
630801,600089,特变电工
220316,603260,合盛硅业
家用电器,300999,金龙鱼
770301,300896,爱美客
270106,688981,中芯国际
240603,002466,天齐锂业
740101,601898,中煤能源
750301,000301,东方盛虹
410107,600905,三峡能源
270105,300782,卓胜微
730102,601728,中国电信
630505,300316,晶盛机电
370603,300759,康龙化成
370502,300760,迈瑞医疗
620306,601868,中国能建
630502,002459,晶澳科技
630701,300750,宁德时代
630702,002709,天赐材料
340701,605499,东鹏饮料
270106,688396,华润微
270103,688126,沪硅产业
710402,688111,金山办公
490101,601995,中金公司
220801,600426,华鲁恒升
630503,300274,阳光电源
340601,600600,青岛啤酒
270108,688012,中微公司
360311,603195,公牛集团
270104,002049,紫光国微
650401,600150,中国船舶
370303,603392,万泰生物
710301,600845,宝信软件
490101,600918,中泰证券
710301,600845,宝信软件
490101,600918,中泰证券
270104,688008,澜起科技
710103,000977,浪潮信息
420903,601816,京沪高铁
340501,603369,今世缘
640602,601100,恒立液压
230501,000708,中信特钢
270108,002371,北方华创
410108,003816,中国广核
630701,300014,亿纬锂能
730206,300628,亿联网络
480201,601658,邮储银行
370603,300347,泰格医药
270202,600183,生益科技
220205,600989,宝丰能源
490101,601236,红塔证券
650101,601698,中国卫通
270104,603501,韦尔股份
270202,002916,深南电路
340501,000596,古井贡酒
270202,002938,鹏鼎控股
720701,300413,芒果超媒
家用电器,300498,温氏股份
490201,601319,中国人保
710103,603019,中科曙光
270104,603986,兆易创新
650501,002179,中航光电
370304,000661,长春高新
220315,002001,新和成
270504,601138,工业富联
家用电器,002311,海大集团
650201,600760,中航沈飞
490101,601066,中信建投
370603,603259,药明康德
710402,601360,三六零
410102,600025,华能水电
750301,600346,恒力股份
340901,603288,海天味业
280502,601238,广汽集团
750201,601808,中海油服
610202,600176,中国巨石
630501,600438,通威股份
340501,600809,山西汾酒
710402,601360,三六零
410102,600025,华能水电
750301,600346,恒力股份
340901,603288,海天味业
280502,601238,广汽集团
480401,601838,成都银行
630502,601012,隆基股份
220206,002601,龙蟒佰利
240601,603799,华友钴业
410101,600011,华能国际
240603,002460,赣锋锂业
490101,601878,浙商证券
370303,300122,智飞生物
370604,300015,爱尔眼科
420804,002352,顺丰控股
370201,600436,片仔癀
480401,600919,江苏银行
480401,600926,杭州银行
480401,601229,上海银行
490101,601881,中国银河
家用电器,002714,牧原股份
710401,300033,同花顺
630802,601877,正泰电器
710301,000938,紫光股份
720502,002027,分众传媒
490101,600061,国投安信
430102,001979,招商蛇口
490101,601211,国泰君安
410108,601985,中国核电
490101,002736,国信证券
490101,300059,东方财富
490101,600958,东方证券
421001,601021,春秋航空
490101,601788,光大证券
421101,601919,中国远洋
490101,000166,申万宏源
710401,600570,恒生电子
640702,300124,汇川技术
740101,601225,陕西煤业
370302,002252,上海莱士
270504,002475,立讯精密
421102,600018,上港集团
710402,002230,科大讯飞
330102,000333,美的集团
370102,000963,华东医药
240302,603993,洛阳钼业
710102,002236,大华股份
410102,600886,国投电力
620306,601800,中国交建
270301,000725,京东方A
