,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Monthly_WinRate,Months,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio
Original IC-weight,0.18115488499751597,0.22072306088631657,0.8207338384584102,-0.264438885839383,0.608,125.0,0.018716159782012465,0.15913713721929357,0.11896177276634533,1.33771659179842
Orth Equal-weight,0.15972517608185877,0.22652242572284065,0.705118601710936,-0.30508437129750576,0.592,125.0,0.018716159782012465,0.14018342409292406,0.11296991960946771,1.2408915982018247
Orth IC-weight,0.17222579974621532,0.22282379540630715,0.7729237329979542,-0.2717359122284896,0.624,125.0,0.018716159782012465,0.15109575669430897,0.11837539875958311,1.2764118075004751
Orth ICIR-weight,0.17099237517489607,0.21874089748355002,0.7817119575810244,-0.2639275454243688,0.6,125.0,0.018716159782012465,0.1493638704221012,0.1138059879403799,1.312442984110372
Orth LightGBM-default,0.15373427099655124,0.19990517100177618,0.7690359895451894,-0.2558413578866744,0.5510204081632653,98.0,0.017860247584018607,0.13143891244238315,0.10231346913366769,1.2846687103402237
Orth RandomForest-default,0.1856773123695068,0.2093760777542576,0.8868124494500954,-0.20581409460586886,0.5816326530612245,98.0,0.017860247584018607,0.16564786768192996,0.0966664772210206,1.7136019894796477
Orth Ridge-default,0.1925081082707838,0.2063903522554097,0.9327379219381025,-0.2011920011231051,0.5918367346938775,98.0,0.017860247584018607,0.1708869528572945,0.10128807937745696,1.6871378538087642
Orth LightGBM-tuned,0.13585509593491873,0.2027199881942462,0.6701613252105286,-0.28533552685203634,0.5306122448979592,98.0,0.017860247584018607,0.11472416736486246,0.09939540567069874,1.1542200224520294
Orth RandomForest-tuned,0.16669330224826284,0.2088853379881615,0.7980134166128506,-0.25257651214428256,0.6020408163265306,98.0,0.017860247584018607,0.1459715072511032,0.10496766917278216,1.390633024448953
Orth Ridge-tuned,0.18994102670620316,0.20561990453676163,0.9237482486635659,-0.19617113496904315,0.5918367346938775,98.0,0.017860247584018607,0.16821827412081025,0.10105587214184321,1.6646066235982517
HS300 (Benchmark),0.018716159782012465,0.19014066059822735,0.0984332321299769,-0.39922028638079654,0.536,125.0,,,,
