,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Monthly_WinRate,Months,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio
Original IC-weight,18.12%,22.07%,0.821,-26.44%,60.8%,125.0,1.87%,15.91%,11.90%,1.338
Orth Equal-weight,15.97%,22.65%,0.705,-30.51%,59.2%,125.0,1.87%,14.02%,11.30%,1.241
Orth IC-weight,17.22%,22.28%,0.773,-27.17%,62.4%,125.0,1.87%,15.11%,11.84%,1.276
Orth ICIR-weight,17.10%,21.87%,0.782,-26.39%,60.0%,125.0,1.87%,14.94%,11.38%,1.312
Orth LightGBM-default,15.37%,19.99%,0.769,-25.58%,55.1%,98.0,1.79%,13.14%,10.23%,1.285
Orth RandomForest-default,18.57%,20.94%,0.887,-20.58%,58.2%,98.0,1.79%,16.56%,9.67%,1.714
Orth Ridge-default,19.25%,20.64%,0.933,-20.12%,59.2%,98.0,1.79%,17.09%,10.13%,1.687
Orth LightGBM-tuned,13.59%,20.27%,0.670,-28.53%,53.1%,98.0,1.79%,11.47%,9.94%,1.154
Orth RandomForest-tuned,16.67%,20.89%,0.798,-25.26%,60.2%,98.0,1.79%,14.60%,10.50%,1.391
Orth Ridge-tuned,18.99%,20.56%,0.924,-19.62%,59.2%,98.0,1.79%,16.82%,10.11%,1.665
HS300 (Benchmark),1.87%,19.01%,0.098,-39.92%,53.6%,125.0,NA,NA,NA,NA
