,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Monthly_WinRate,Months,Benchmark_Ann_Return,Excess_Ann_Return,Tracking_Error,Info_Ratio
IC-weight,0.18247263125171242,0.21903952261558582,0.8330580210949041,-0.26694899952714823,0.608,125.0,0.018716159782012465,0.16026659948923228,0.1174416515446862,1.3646487202902737
LightGBM-default,0.18496970120906475,0.21022608988119162,0.8798608265681942,-0.22860689907142207,0.5918367346938775,98.0,0.017860247584018607,0.16390921951224602,0.10635947632573402,1.5410871242940452
LightGBM-tuned,0.1890339926566451,0.20655545483227084,0.9151730841973954,-0.21567199559800287,0.5918367346938775,98.0,0.017860247584018607,0.16760980948418358,0.10228310616088586,1.6386851727062561
CatBoost-default,0.20133531302405938,0.22033651657503847,0.9137628031597387,-0.24755345446806254,0.5816326530612245,98.0,0.017860247584018607,0.18210283557948048,0.10712172683276719,1.6999617254468822
CatBoost-tuned,0.19839005349034666,0.21026628888691165,0.9435181195262716,-0.20567394173636122,0.6020408163265306,98.0,0.017860247584018607,0.1770243360390391,0.10587729815469933,1.671976326600113
XGBoost-default,0.21085057498034976,0.21094624312866994,0.9995464809095376,-0.22470719460215716,0.5918367346938775,98.0,0.017860247584018607,0.1894885135054467,0.10743045724775131,1.7638248813225916
XGBoost-tuned,0.1960067386688864,0.20805322720332897,0.9420990066033937,-0.23235681266021646,0.5714285714285714,98.0,0.017860247584018607,0.17401890626964223,0.10882166785959625,1.5991200070023248
RandomForest-default,0.21502225034163946,0.2132052569060817,1.0085222731461925,-0.22871979576059287,0.5918367346938775,98.0,0.017860247584018607,0.19329471518473573,0.11414847074735436,1.6933622843932472
RandomForest-tuned,0.22026858911257885,0.2146702407390597,1.0260788284125706,-0.22836143830967293,0.6122448979591837,98.0,0.017860247584018607,0.19920289744919795,0.11104002961532385,1.7939737420756898
Ridge-default,0.2020003667706689,0.1984981126988931,1.0176437650925603,-0.20849115447897515,0.6224489795918368,98.0,0.017860247584018607,0.17868990458512535,0.10089211300066334,1.7710988428198595
Ridge-tuned,0.20881214693207562,0.20153279551643014,1.0361199347083538,-0.18728661150556858,0.6326530612244898,98.0,0.017860247584018607,0.18607464569240983,0.09937607246159216,1.8724290574506834
