date,model,best_score,n_trials,train_rows,val_rows,val_start,val_end,param_loss_function,param_iterations,param_learning_rate,param_depth,param_l2_leaf_reg,param_random_seed,param_thread_count,param_verbose
2018-02-05,CatBoost,0.053961699913895454,12,50000,22115,2017-11-07,2018-02-02,RMSE,101,0.01694270782217721,5,1.0040585433372526,2027,-1,False
2018-08-13,CatBoost,0.07103681409184591,12,50000,22929,2018-05-15,2018-08-10,RMSE,90,0.07186680387494947,4,8.993222224879998,2052,-1,False
2019-02-21,CatBoost,0.053839047739645665,12,50000,24207,2018-11-15,2019-02-20,RMSE,104,0.03776533828335315,3,9.486894685202497,2077,-1,False
2019-08-22,CatBoost,0.046662210420175716,12,50000,24801,2019-05-24,2019-08-21,RMSE,216,0.11373846639415501,5,3.808399816467633,2102,-1,False
2020-03-03,CatBoost,0.060501763734501085,12,50000,25569,2019-11-26,2020-03-02,RMSE,179,0.02267488959665252,4,8.04214947663156,2127,-1,False
2020-09-02,CatBoost,0.02307415883690478,12,50000,26271,2020-06-03,2020-09-01,RMSE,220,0.0839126286477659,6,2.3916536294245345,2152,-1,False
2021-03-12,CatBoost,-0.02688091415940083,12,50000,27450,2020-12-07,2021-03-11,RMSE,212,0.10338542570079438,4,7.9464035944457745,2177,-1,False
2021-09-10,CatBoost,0.023651128974944705,12,50000,28374,2021-06-15,2021-09-09,RMSE,193,0.06950585452259164,4,11.022053591948778,2202,-1,False
2022-03-23,CatBoost,0.010544780787321755,12,50000,29026,2021-12-16,2022-03-22,RMSE,188,0.02776570614812781,5,2.6912039570106088,2227,-1,False
2022-09-23,CatBoost,0.07011783070304511,12,50000,29716,2022-06-27,2022-09-22,RMSE,208,0.0173762300247167,4,18.82736186903042,2252,-1,False
2023-04-03,CatBoost,0.09384148901619313,12,50000,30190,2022-12-27,2023-03-31,RMSE,61,0.02037233030383348,5,4.68543606368483,2277,-1,False
2023-10-11,CatBoost,0.06831444620758045,12,50000,30750,2023-07-06,2023-10-10,RMSE,61,0.0174386779401966,6,1.06068674437849,2302,-1,False
2024-04-16,CatBoost,0.0026120383596150917,12,50000,30953,2024-01-08,2024-04-15,RMSE,145,0.06721024423699824,6,11.203166517476678,2327,-1,False
2024-10-23,CatBoost,0.03584877533899432,12,50000,31218,2024-07-17,2024-10-22,RMSE,172,0.04600326216446007,5,8.235936242194411,2352,-1,False
2025-04-28,CatBoost,0.049803510005920856,12,50000,31278,2025-01-20,2025-04-25,RMSE,74,0.05662433738952104,3,3.8807497813428204,2377,-1,False
2025-11-03,CatBoost,0.011555310275651619,12,50000,31406,2025-07-29,2025-10-31,RMSE,65,0.012374062085593952,3,16.200454759170352,2402,-1,False
