date,model,best_score,n_trials,train_rows,val_rows,val_start,val_end,param_n_estimators,param_max_depth,param_min_samples_leaf,param_max_features,param_random_state,param_n_jobs
2018-02-05,RandomForest,0.0251919979107393,12,15000,22096,2017-10-31,2018-01-26,104,7,124,0.8374879407158129,2027,-1
2018-08-13,RandomForest,0.10502008269557198,12,15000,22886,2018-05-08,2018-08-03,103,6,140,0.44041456928727596,2052,-1
2019-02-21,RandomForest,0.06998622476885698,12,15000,24174,2018-11-08,2019-02-13,40,3,35,0.6640842908512128,2077,-1
2019-08-22,RandomForest,0.04368630286557987,12,15000,24761,2019-05-17,2019-08-14,60,3,38,0.5853700169371572,2102,-1
2020-03-03,RandomForest,0.07230831536746583,12,15000,25540,2019-11-19,2020-02-24,91,5,97,0.8487412087493246,2127,-1
2020-09-02,RandomForest,0.02862269847269581,12,15000,26213,2020-05-27,2020-08-25,96,7,80,0.6068134798536087,2152,-1
2021-03-12,RandomForest,-0.009204581850076204,12,15000,27396,2020-11-30,2021-03-04,105,7,32,0.8618342251692144,2177,-1
2021-09-10,RandomForest,0.051377535479881276,12,15000,28332,2021-06-07,2021-09-02,68,7,146,0.5885132246091163,2202,-1
2022-03-23,RandomForest,0.011889359549623316,12,15000,28990,2021-12-09,2022-03-15,65,4,127,0.8426437336851502,2227,-1
2022-09-23,RandomForest,0.07308118900415757,12,15000,29683,2022-06-20,2022-09-15,84,6,121,0.6189141900439615,2252,-1
2023-04-03,RandomForest,0.090201498679363,12,15000,30168,2022-12-20,2023-03-24,82,7,32,0.5089649209796396,2277,-1
2023-10-11,RandomForest,0.0721418692566516,12,15000,30724,2023-06-29,2023-09-25,87,3,118,0.8964420518830658,2302,-1
2024-04-16,RandomForest,-0.03228121953807578,12,15000,30928,2023-12-29,2024-04-08,59,3,98,0.6235454151153603,2327,-1
2024-10-23,RandomForest,0.0522231588669882,12,15000,31211,2024-07-10,2024-10-15,107,6,69,0.40230298482050786,2352,-1
2025-04-28,RandomForest,0.05694412831628276,12,15000,31281,2025-01-13,2025-04-18,91,3,32,0.4101252684007988,2377,-1
2025-11-03,RandomForest,0.03851873551524366,12,15000,31401,2025-07-22,2025-10-24,83,3,117,0.5758238902889088,2402,-1
