date,model,best_score,n_trials,train_rows,val_rows,val_start,val_end,param_objective,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_random_state,param_n_jobs,param_tree_method,param_eval_metric,param_verbosity
2018-02-05,XGBoost,0.05099706445185532,12,50000,22096,2017-10-31,2018-01-26,reg:squarederror,205,0.09452056980229036,5,107,0.8135360471510237,0.643985800858856,2.328524977173802,0.06375127755534543,2027,-1,hist,rmse,0
2018-08-13,XGBoost,0.11162681683282005,12,50000,22886,2018-05-08,2018-08-03,reg:squarederror,107,0.05326394172954616,4,47,0.9915638022404268,0.8204823578972107,4.985840653642546,10.087565895834816,2052,-1,hist,rmse,0
2019-02-21,XGBoost,0.06946188205645278,12,50000,24174,2018-11-08,2019-02-13,reg:squarederror,129,0.015072710892125503,2,109,0.8137673288465104,0.6650262308962215,0.009678350933733124,12.206991459084641,2077,-1,hist,rmse,0
2019-08-22,XGBoost,0.029010970426143225,12,50000,24761,2019-05-17,2019-08-14,reg:squarederror,237,0.02631941499649428,2,56,0.6006927512757066,0.7850161823886244,9.88019418227123,0.9687641448510195,2102,-1,hist,rmse,0
2020-03-03,XGBoost,0.05169657120905965,12,50000,25540,2019-11-19,2020-02-24,reg:squarederror,213,0.04667901680008007,3,42,0.895926770971371,0.7317833060842396,0.04007537779541814,2.6283885884797886,2127,-1,hist,rmse,0
2020-09-02,XGBoost,0.03409566660848803,12,50000,26213,2020-05-27,2020-08-25,reg:squarederror,236,0.08481828406982558,4,88,0.6612521915129664,0.6291696455276826,0.0012141750111921913,0.3052720578090254,2152,-1,hist,rmse,0
2021-03-12,XGBoost,0.0003419714270555329,12,50000,27396,2020-11-30,2021-03-04,reg:squarederror,230,0.05331584007911729,5,48,0.628430611947497,0.9133336470764404,0.2638563174403505,1.6341710212607823,2177,-1,hist,rmse,0
2021-09-10,XGBoost,0.05586706056481718,12,50000,28332,2021-06-07,2021-09-02,reg:squarederror,152,0.012264764113686814,4,21,0.8740979903777464,0.7986557756395141,0.00291465669606173,0.6075903901476537,2202,-1,hist,rmse,0
2022-03-23,XGBoost,0.016194357630108503,12,50000,28990,2021-12-09,2022-03-15,reg:squarederror,121,0.09868700517560663,4,68,0.6445729576768973,0.8565550497398245,0.007709742301598336,0.022289676604315706,2227,-1,hist,rmse,0
2022-09-23,XGBoost,0.07810409986305948,12,50000,29683,2022-06-20,2022-09-15,reg:squarederror,226,0.0173762300247167,3,118,0.7478533108477008,0.8571765762459906,0.15374193704647182,0.1710843393342844,2252,-1,hist,rmse,0
2023-04-03,XGBoost,0.085795698259437,12,50000,30168,2022-12-20,2023-03-24,reg:squarederror,68,0.018839892267389836,2,48,0.7010431616628,0.9002333499014663,1.3122655319973,28.830866431775785,2277,-1,hist,rmse,0
2023-10-11,XGBoost,0.05705438125095106,12,50000,30724,2023-06-29,2023-09-25,reg:squarederror,183,0.01059838719027025,2,37,0.9998490135184854,0.7107242171574595,0.0018656015428651712,5.805469004829181,2302,-1,hist,rmse,0
2024-04-16,XGBoost,-0.01400004728172764,12,50000,30928,2023-12-29,2024-04-08,reg:squarederror,219,0.09264776542589477,5,94,0.9169243921439377,0.9612972634750782,2.101006509809733,23.65598905817448,2327,-1,hist,rmse,0
2024-10-23,XGBoost,0.06710417372262076,12,50000,31211,2024-07-10,2024-10-15,reg:squarederror,181,0.054537408763067535,3,28,0.9815574252589282,0.9550866393927586,0.0016111985924681048,0.035131065429100314,2352,-1,hist,rmse,0
2025-04-28,XGBoost,0.05650215203440825,12,50000,31281,2025-01-13,2025-04-18,reg:squarederror,64,0.05044522739553338,2,98,0.8507947130667866,0.6122971598582599,0.02716802750146879,9.784389598539976,2377,-1,hist,rmse,0
2025-11-03,XGBoost,0.03393064986518547,12,50000,31401,2025-07-22,2025-10-24,reg:squarederror,66,0.012374062085593952,2,113,0.8417282007091464,0.7474051637822088,0.16451651135903467,0.2148449507006025,2402,-1,hist,rmse,0
