Variable,Mean,Std,T_simple,T_NW,P_NW,Significant,N_months
const,0.01026051123089816,0.05680354338894239,2.0195219547390546,2.466657467982493,0.013638074848608241,**,125
EP,0.0004338429472234388,0.016884710805976408,0.28727241250915925,0.29041961088483,0.7714952425876344,,125
BP,-0.0014061286349992088,0.016118134627881323,-0.9753607615140375,-1.0241109064052767,0.3057828935635447,,125
SP,-0.00010518449493567112,0.011067037846335063,-0.10626135200804036,-0.11888849798639443,0.9053636944058878,,125
MOM_12_1,0.00011492288637981814,0.016425687121620063,0.0782236335725396,0.08927599940214279,0.9288625675954162,,125
REV_1M,0.0007619311533044385,0.014449809795813265,0.5895336606635411,0.631433111922566,0.5277573713628927,,125
ROE_TTM,0.0005651024639561175,0.017159884499184392,0.36818648858579517,0.403986674399949,0.6862225182742809,,125
GPM_change,-1.2888711695969376e-06,0.009537927012800748,-0.0015108123314376946,-0.001457360875855752,0.9988371946692504,,125
VOL_20D,0.0014878569373604977,0.034050676147744374,0.48852910266704164,0.4744374170239388,0.6351880161597001,,125
IVOL,-0.0012243577984449305,0.02672166640845723,-0.5122710582971675,-0.5069167184105087,0.6122132546071912,,125
TURN_1M,-0.0017911706916564846,0.016265553202837218,-1.2311845087293396,-1.537269505926109,0.12422732569431533,,125
AMIHUD,0.0007542560019516817,0.01489784604797152,0.5660441406665013,0.6215459722415132,0.5342404564468435,,125
SIZE,0.001034202548467852,0.014059542048263915,0.8224119935553639,0.7064057340073282,0.4799358560367838,,125
BETA_60D,-0.00029371289763394456,0.017271905747308722,-0.19012435992486607,-0.18217379450962382,0.8554463378076239,,125
ABTURN_1M,0.0008680876919065823,0.010541214972903537,0.9207207587188323,0.7928160925503454,0.42788497920820556,,125
OCF_QUALITY,0.0011637203218697282,0.006793562190477451,1.9151644406421249,2.123310719481976,0.033727823025821835,**,125
ASSET_GROWTH,0.0018800193371720246,0.01077299408032135,1.9511061667664757,1.6540405111189964,0.09811928182023584,*,125
