Factor,IC_mean,IC_std,ICIR,IC>0_pct,IC_abs_mean,T_stat,N_months
EP,0.007420048402083134,0.10535959061250517,0.07042594185253455,0.536,0.08298742803373466,0.7873859668085738,125
BP,-0.004458216141249822,0.12324621303435965,-0.03617325053230578,0.504,0.09946192884566059,-0.40442923578683093,125
SP,-0.006377860642378753,0.11428515594125598,-0.05580655326451192,0.472,0.09047692452399435,-0.6239362334470574,125
MOM_12_1,0.019574811647478648,0.14773175894582152,0.13250239344038017,0.5929203539823009,0.11978123907156146,1.4085197628075765,113
REV_1M,-0.00976273234489128,0.12459136609915948,-0.07835801669532494,0.496,0.09738568171230273,-0.87606925956405,125
ROE_TTM,0.013851102941620532,0.10680563027795059,0.12968513837308457,0.528,0.08971441190759215,1.449923925368418,125
GPM_change,0.002780093010326864,0.083271390466961,0.03338593236809108,0.5132743362831859,0.06610615227685612,0.35489732916690553,113
VOL_20D,-0.009703315968129594,0.13860243811195122,-0.07000826320451942,0.456,0.11148373189922017,-0.7827161775600134,125
IVOL,-0.0136753006694299,0.11161718137837277,-0.12251967394761377,0.464,0.09282931295143737,-1.3698115976398721,125
TURN_1M,-0.020252357074389462,0.11686329754993688,-0.17329955168974606,0.424,0.0972321874896367,-1.9375478902425538,125
AMIHUD,0.025277947164345976,0.11130415874822225,0.22710694235178086,0.592,0.08948791446574703,2.53913280630354,125
SIZE,0.01648303034070852,0.13182131117824672,0.1250407099836871,0.536,0.10356985815826097,1.397997637391805,125
BETA_60D,-0.00420125474905337,0.1531531435769241,-0.027431723900222846,0.488,0.12465396006603155,-0.30669599690451976,125
ABTURN_1M,-0.013043952669461257,0.09253341637752689,-0.14096477986118292,0.44537815126050423,0.07770281148479972,-1.5377442018086427,119
OCF_QUALITY,0.015142189185530341,0.07103574860233755,0.21316294237000638,0.6048387096774194,0.05592777791135664,2.3736820680074224,124
ASSET_GROWTH,0.010106817806365588,0.09813708438532742,0.10298673401261826,0.5483870967741935,0.08271978130505077,1.146811734959421,124
