,EP,BP,SP,MOM_12_1,REV_1M,ROE_TTM,GPM_change,VOL_20D,IVOL,TURN_1M,AMIHUD
EP,1.0,0.07635311047523773,0.040504446534965884,-0.09311196123374318,-0.05597381110709498,0.4106924148034826,0.09420331206924352,-0.18396113818275395,-0.026012956260165032,0.17350191250008867,0.026226440942679886
BP,0.07635311047523773,1.0,0.03251252736153249,-0.22234699461936175,-0.06923698315446099,-0.6659049216425447,-0.11213863785571963,-0.17599078408230492,-0.04087289766555438,0.12173992151676316,0.1479555514075374
SP,0.040504446534965884,0.03251252736153249,1.0,-0.02355747490971445,-0.00462968489585243,-0.05798245803254825,-0.01651437437755189,-0.017414699439374782,-0.030693016759764984,0.004423359468663447,-0.10741001506260449
MOM_12_1,-0.09311196123374318,-0.22234699461936175,-0.02355747490971445,1.0,0.019479682551106405,0.17020072802465716,0.15798740784256765,0.2365140534673309,0.09669808969795343,-0.008719222061415932,-0.1497328860480006
REV_1M,-0.05597381110709498,-0.06923698315446099,-0.00462968489585243,0.019479682551106405,1.0,0.029792409700757548,0.01753233908948006,0.22454387691516922,0.1242543589174568,-0.046699795291713586,-0.018934554215781437
ROE_TTM,0.4106924148034826,-0.6659049216425447,-0.05798245803254825,0.17020072802465716,0.029792409700757548,1.0,0.18489765078150738,0.03847041630852314,0.007055309074986202,-0.026219911239789236,-0.15499386533582818
GPM_change,0.09420331206924352,-0.11213863785571963,-0.01651437437755189,0.15798740784256765,0.01753233908948006,0.18489765078150738,1.0,0.018092712207185658,0.0030022630555397007,0.03123830931202961,-0.0560999300693389
VOL_20D,-0.18396113818275395,-0.17599078408230492,-0.017414699439374782,0.2365140534673309,0.22454387691516922,0.03847041630852314,0.018092712207185658,1.0,0.04343445623013553,-0.016510003887614068,0.056414565734760114
IVOL,-0.026012956260165032,-0.04087289766555438,-0.030693016759764984,0.09669808969795343,0.1242543589174568,0.007055309074986202,0.0030022630555397007,0.04343445623013553,1.0,-0.0032006968709525846,0.08161591543101421
TURN_1M,0.17350191250008867,0.12173992151676316,0.004423359468663447,-0.008719222061415932,-0.046699795291713586,-0.026219911239789236,0.03123830931202961,-0.016510003887614068,-0.0032006968709525846,1.0,-0.18895122883920723
AMIHUD,0.026226440942679886,0.1479555514075374,-0.10741001506260449,-0.1497328860480006,-0.018934554215781437,-0.15499386533582818,-0.0560999300693389,0.056414565734760114,0.08161591543101421,-0.18895122883920723,1.0
