,EP,BP,SP,MOM_12_1,REV_1M,ROE_TTM,GPM_change,VOL_20D,IVOL,TURN_1M,AMIHUD
EP,1.0,0.5255893797280676,0.4423247315363608,-0.09311196123374318,-0.05597381110709498,0.4106924148034826,0.09420331206924352,-0.18396113818275395,-0.17475838223186385,0.029889148517536736,0.026226440942679886
BP,0.5255893797280676,1.0,0.608791235456757,-0.2410076425598172,-0.08853723044559614,-0.3335203044770672,-0.05473773610736917,-0.2394742310756222,-0.23876790372456685,0.01029672912232288,0.13283372812896665
SP,0.4423247315363608,0.608791235456757,1.0,-0.1498435881872883,-0.053194700614667176,-0.15400509540574345,-0.021368124257094927,-0.15963323629307805,-0.1618686452534874,0.012434440374792598,-0.003551269341014131
MOM_12_1,-0.09311196123374318,-0.2410076425598172,-0.1498435881872883,1.0,0.019479682551106405,0.17020072802465716,0.15798740784256765,0.2365140534673309,0.2555331824829004,0.13190274215850034,-0.1497328860480006
REV_1M,-0.05597381110709498,-0.08853723044559614,-0.053194700614667176,0.019479682551106405,1.0,0.029792409700757548,0.01753233908948006,0.22454387691516922,0.25997328032921485,0.09410300238433629,-0.018934554215781437
ROE_TTM,0.4106924148034826,-0.3335203044770672,-0.15400509540574345,0.17020072802465716,0.029792409700757548,1.0,0.18489765078150738,0.03847041630852314,0.042383195986510226,-0.0015918758098272757,-0.15499386533582818
GPM_change,0.09420331206924352,-0.05473773610736917,-0.021368124257094927,0.15798740784256765,0.01753233908948006,0.18489765078150738,1.0,0.018092712207185658,0.01933098314828523,0.04142412134838071,-0.0560999300693389
VOL_20D,-0.18396113818275395,-0.2394742310756222,-0.15963323629307805,0.2365140534673309,0.22454387691516922,0.03847041630852314,0.018092712207185658,1.0,0.8982163143391921,0.5522844827102,0.056414565734760114
IVOL,-0.17475838223186385,-0.23876790372456685,-0.1618686452534874,0.2555331824829004,0.25997328032921485,0.042383195986510226,0.01933098314828523,0.8982163143391921,1.0,0.5110413507512798,0.07660238237086049
TURN_1M,0.029889148517536736,0.01029672912232288,0.012434440374792598,0.13190274215850034,0.09410300238433629,-0.0015918758098272757,0.04142412134838071,0.5522844827102,0.5110413507512798,1.0,-0.109254378233463
AMIHUD,0.026226440942679886,0.13283372812896665,-0.003551269341014131,-0.1497328860480006,-0.018934554215781437,-0.15499386533582818,-0.0560999300693389,0.056414565734760114,0.07660238237086049,-0.109254378233463,1.0
