Factor,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown,Monthly_WinRate
EP,-0.021929975131307233,0.10152877772390871,-0.2159976276966743,-0.42657798297818883,0.5080645161290323
BP,-0.10793875603010017,0.12608816594431607,-0.8560577848183535,-0.7308436733784809,0.3951612903225806
SP,-0.05325165979711277,0.1251733340777665,-0.42542335545707427,-0.5244107164307614,0.4435483870967742
MOM_12_1,0.023442259234766283,0.1516113037706441,0.15462078784197694,-0.2877524605951919,0.5575221238938053
REV_1M,0.009600258285906271,0.1430132806677755,0.06712843898887953,-0.2954255795398175,0.528
ROE_TTM,0.009834779565183638,0.11150166048155309,0.08820298749551546,-0.4963487870311316,0.46774193548387094
GPM_change,0.027883089669139105,0.10264437102490324,0.27164752816668536,-0.2372641576893051,0.5180722891566265
VOL_20D,0.10583101949684792,0.15160511737799268,0.6980702322401326,-0.236426080237499,0.544
IVOL,0.09870586543483562,0.12990218626787597,0.7598476074243331,-0.1711280284180754,0.56
TURN_1M,0.03524117625354917,0.1483540191489317,0.2375478362886196,-0.44032428257985223,0.464
AMIHUD,0.1376911309174047,0.13054893442556162,1.0547089604619908,-0.11849776610393525,0.648
SIZE,0.14952571028686434,0.1446868620337519,1.0334435911118431,-0.2252553802781695,0.584
BETA_60D,0.061599392592460944,0.15326558858961675,0.40191273957391177,-0.28197624391911447,0.496
ABTURN_1M,-0.05374073140040381,0.11565679618736599,-0.464656926112175,-0.5333557066459085,0.46218487394957986
OCF_QUALITY,0.0339306448872887,0.08324232709409211,0.4076128824334228,-0.16419631217987085,0.5725806451612904
ASSET_GROWTH,0.011128231312104386,0.12453010805894592,0.08936177351453733,-0.4610286806645143,0.5
